IP:PORT, LOSS, DELAY
162.159.192.190:859,0.00%,214ms
162.159.195.188:878,0.00%,214ms
188.114.99.106:878,0.00%,214 ms
162.159.192.157:859,0.00%,215ms
162.159.195.149:878,0.00%,215 ms
162.159.195.217:878,0.00%,215ms
162.159.195.65:859,0.00%,215ms
188.114.99.182:859,0.00%,215ms
188.114.98.188:859,0.00%,,216 ms
188.114.98.49:859,0.00%,216ms
[2606:4700:d0::974b:e7f9:b8fe:a8ea]:1018,20.00%,405ms
[2606:4700:d0::4855:d965:803c:3d0a]:1018,20.00%,419ms
[2606:4700:d1::c032:172b:34cb:8a60]:1018,20.00%,419ms
[2606:4700:d1::4ccf:174d:c3ff:ef17]:1180,20.00%,420ms
[2606:4700:d0::b522:2b5b:a436:646b]:1018,20.00%,421ms
[2606:4700:d0::d8aa:dd2a:6e99:b83]:1180,30.00%,478ms
[2606:4700:d1::86e3:8d46:21f1:932e]:1018,30.00%,479ms
[2606:4700:d0::ee96:46c6:90dd:836]:1180,30.00%,480ms
[2606:4700:d1::3001:9318:bf6:be6e]:1180,30.00%,480ms
[2606:4700:d1::8b56:2e93:9f:21c6]:1180,30.00%,481ms
